name;kind;verdict;trace_length;hibou_time_tries;hibou_tries_quickest;hibou_time_median
t4237;ACPT;WeakPass;63;[0.024149, 0.0055141, 0.0064836, 0.0156016, 0.0556828];['SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0156016
t4291;ACPT;WeakPass;63;[0.009624, 0.0190813, 0.0081057, 0.0048955, 0.023872];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.009624
t4355;ACPT;WeakPass;63;[0.0042328, 0.0387735, 0.0045509, 0.0304759, 0.0417597];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0304759
t4416;ACPT;WeakPass;63;[0.0036305, 0.0036115, 0.0424275, 0.0363182, 0.027749];['NO_LOC', 'NO_LOC', 'SAME', 'SAME', 'WT_LOC'];0.027749
t4479;ACPT;WeakPass;63;[0.0126013, 0.0190143, 0.0073272, 0.0116907, 0.0205957];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME'];0.0126013
t4532;ACPT;WeakPass;63;[0.00938, 0.030672, 0.0050265, 0.0388708, 0.0053204];['NO_LOC', 'SAME', 'NO_LOC', 'SAME', 'NO_LOC'];0.00938
t4593;ACPT;WeakPass;63;[0.0195856, 0.0161116, 0.0049261, 0.0290751, 0.0027026];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.0161116
t4646;ACPT;WeakPass;63;[0.0057704, 0.0375995, 0.0423246, 0.0157776, 0.0089445];['NO_LOC', 'WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0157776
t4706;ACPT;WeakPass;63;[0.0051098, 0.0420227, 0.0199587, 0.003565, 0.0104478];['NO_LOC', 'WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0104478
t4761;ACPT;WeakPass;63;[0.022521, 0.0478048, 0.0042367, 0.0269205, 0.0136018];['SAME', 'WT_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.022521
t4816;ACPT;WeakPass;63;[0.0063938, 0.0069127, 0.0043698, 0.0266355, 0.0068094];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0068094
t4861;ACPT;WeakPass;63;[0.0035067, 0.0341425, 0.0037602, 0.0053689, 0.0111976];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0053689
t4914;ACPT;WeakPass;63;[0.0130151, 0.026689, 0.0048274, 0.0091807, 0.0050727];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0091807
t4979;ACPT;WeakPass;63;[0.0086014, 0.0317493, 0.0137778, 0.0114272, 0.0058013];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0114272
t5023;ACPT;WeakPass;63;[0.0022993, 0.0094582, 0.0039035, 0.0044141, 0.0430974];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0044141
t5075;ACPT;Pass;65;[0.0263997, 0.0412075, 0.0380375, 2.4549172, 0.6172512];['WT_LOC', 'WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.0412075
t5122;ACPT;WeakPass;63;[0.0050235, 0.0285398, 0.0255654, 0.0031626, 0.0088643];['NO_LOC', 'SAME', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.0088643
t5177;ACPT;WeakPass;63;[0.0081642, 0.0113689, 0.0104451, 0.0275606, 0.00456];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.0104451
t5235;ACPT;WeakPass;63;[0.005944, 0.0062371, 0.0137255, 0.0044787, 0.0058989];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.005944
t5290;ACPT;WeakPass;63;[0.0054549, 0.0459443, 0.032435, 0.0074425, 0.0108115];['NO_LOC', 'WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0108115
t5334;ACPT;WeakPass;63;[0.0060236, 0.0063107, 0.0076973, 0.0069388, 0.0663105];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0069388
t535;ACPT;WeakPass;120;[0.0344898, 0.0009752, 0.0010114, 0.000952, 0.001009];['SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.001009
t5386;ACPT;WeakPass;63;[0.0067814, 0.0026225, 0.0059891, 0.0183083, 0.0543844];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0067814
t5438;ACPT;WeakPass;63;[0.0127556, 0.0288108, 0.0195292, 0.0046312, 0.0036137];['NO_LOC', 'SAME', 'SAME', 'NO_LOC', 'NO_LOC'];0.0127556
t5494;ACPT;WeakPass;63;[0.0239404, 0.0048348, 0.0032886, 0.0063129, 0.0025051];['WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0048348
t5543;ACPT;WeakPass;63;[0.0039865, 0.0201471, 0.0036461, 0.0055464, 0.0046741];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0046741
t5590;ACPT;WeakPass;63;[0.0052852, 0.0076358, 0.0019564, 0.0099388, 0.056931];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0076358
t5643;ACPT;WeakPass;63;[0.0062065, 0.0342442, 0.0060497, 0.015315, 0.0245974];['NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'SAME'];0.015315
t5685;ACPT;WeakPass;63;[0.0066434, 0.0373905, 0.0199177, 0.0044885, 0.0035229];['NO_LOC', 'WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0066434
t5735;ACPT;WeakPass;63;[0.0090121, 0.0046386, 0.0032445, 0.0149309, 0.0059563];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0059563
t5781;ACPT;WeakPass;63;[0.0075994, 0.0186946, 0.0067786, 0.00911, 0.0898174];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.00911
t5825;ACPT;WeakPass;63;[0.0110596, 0.0294756, 0.0070803, 0.0071406, 0.0096229];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0096229
t5879;ACPT;WeakPass;63;[0.0092574, 0.0059449, 0.0034504, 0.0302362, 0.0098735];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0092574
t5927;ACPT;WeakPass;63;[0.0035339, 0.0040053, 0.0059767, 0.0297239, 0.013396];['NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC'];0.0059767
t5978;ACPT;WeakPass;63;[0.0086676, 0.0058825, 0.0283886, 0.0213134, 0.0079492];['NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0086676
t6025;ACPT;WeakPass;63;[0.0345663, 0.0234573, 0.0069553, 0.0065988, 0.0086431];['SAME', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0086431
t6068;ACPT;WeakPass;63;[0.0347381, 0.0140228, 0.027357, 0.0052822, 0.0288115];['WT_LOC', 'NO_LOC', 'SAME', 'NO_LOC', 'SAME'];0.027357
t6121;ACPT;WeakPass;63;[0.0388794, 0.0830002, 0.0060854, 0.0104159, 0.0149469];['WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0149469
t6166;ACPT;WeakPass;63;[0.0062192, 0.002929, 0.0056693, 0.0042884, 0.010371];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0056693
t6209;ACPT;WeakPass;63;[0.0092965, 0.009256, 0.007713, 0.0107891, 0.0564372];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0092965
t6258;ACPT;WeakPass;63;[0.0088217, 0.0634239, 0.0344259, 0.0033618, 0.0050803];['NO_LOC', 'WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0088217
t6310;ACPT;WeakPass;63;[0.0465102, 0.0633018, 0.0055153, 0.0045994, 0.0051887];['WT_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0055153
t6354;ACPT;WeakPass;63;[0.0115887, 0.0163032, 0.0280588, 0.0082672, 0.0404389];['NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC', 'WT_LOC'];0.0163032
t6401;ACPT;WeakPass;63;[0.0039916, 0.0082521, 0.0060224, 0.0034057, 0.0094528];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0060224
t6450;ACPT;WeakPass;63;[0.0072648, 0.0066, 0.0071094, 0.0028054, 0.0314659];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'WT_LOC'];0.0071094
t648;ACPT;WeakPass;114;[0.0010373, 0.0102423, 0.0017037, 0.0076855, 0.0029373];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0029373
t6491;ACPT;WeakPass;63;[0.0055046, 0.0088646, 0.0226893, 0.0145674, 0.0061343];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0088646
t6548;ACPT;WeakPass;63;[0.0046148, 0.0347998, 0.0342833, 0.0151528, 0.0296317];['NO_LOC', 'SAME', 'WT_LOC', 'NO_LOC', 'SAME'];0.0296317
t6592;ACPT;WeakPass;63;[0.0263778, 0.0092346, 0.0090284, 0.0067166, 0.0102801];['SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0092346
t6638;ACPT;WeakPass;63;[0.0252043, 0.0527804, 0.0292908, 0.0070601, 0.005229];['WT_LOC', 'WT_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0252043
t6688;ACPT;WeakPass;63;[0.005307, 0.0104588, 0.0363205, 0.0027534, 0.0118083];['NO_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC', 'NO_LOC'];0.0104588
t6736;ACPT;WeakPass;63;[0.0083287, 0.034452, 0.0043481, 0.0050803, 0.0249609];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0083287
t6775;ACPT;WeakPass;63;[0.0050155, 0.0064245, 0.0109152, 0.032626, 0.032452];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'WT_LOC'];0.0109152
t6811;ACPT;WeakPass;63;[0.0076445, 0.0240873, 0.0344581, 0.0090842, 0.0054308];['NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC'];0.0090842
t6858;ACPT;WeakPass;63;[0.091127, 0.0064796, 0.0364842, 0.0095111, 0.0493955];['WT_LOC', 'NO_LOC', 'WT_LOC', 'NO_LOC', 'WT_LOC'];0.0364842
t6901;ACPT;WeakPass;63;[0.0053643, 0.0032769, 0.0112041, 0.0052245, 0.0111295];['NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.0053643
t6936;ACPT;WeakPass;63;[0.0061631, 0.0089562, 0.0197297, 0.0223411, 0.0173949];['NO_LOC', 'NO_LOC', 'NO_LOC', 'SAME', 'NO_LOC'];0.0173949
t6978;ACPT;WeakPass;63;[0.0189514, 0.0302566, 0.015193, 0.0097216, 0.0044646];['NO_LOC', 'SAME', 'NO_LOC', 'NO_LOC', 'NO_LOC'];0.015193
t7016;ACPT;WeakPass;63;[0.0188254, 0.0249531, 0.0323989, 0.0250279, 0.0024653];['NO_LOC', 'SAME', 'SAME', 'SAME', 'NO_LOC'];0.0249531
